LigandID,lowest_binding_affinity
CHEMBL2325895,No Data
GW410563A,No Data
GW396574X,No Data
GW567808A,No Data
Tyrphostin AG 1478,No Data
GI261520A,No Data
SCHEMBL1395428,No Data
GSK317314A,No Data
GW853609X,No Data
GW843682X,No Data
GW280670X,No Data
GW853606,No Data
GW279320X,No Data
CHEMBL2420570,No Data
GW282536X,No Data
CHEMBL574646,No Data
GSK317315A,No Data
CHEMBL495902,No Data
CHEMBL3731129,No Data
CHEMBL3728544,No Data
CHEMBL2420562,No Data
CHEMBL2420564,No Data
GW305074X,No Data
CHEMBL2420565,No Data
CHEMBL198801,No Data
CHEMBL1794052,No Data
CHEMBL382501,No Data
